Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
01;Ain;L'Abergement-Clémenciat;497;146;237;213
01;Ain;L'Abergement-de-Varey;168;45;94;48
01;Ain;Ambérieu-en-Bugey;6315;2448;3080;2609
01;Ain;Ambléon;84;19;45;27
01;Ain;Andert-et-Condon;207;73;102;80
01;Ain;Aranc;207;76;92;81
01;Ain;Arbent;1577;682;891;578
01;Ain;Arboys en Bugey;443;119;235;164
01;Ain;Ars-sur-Formans;849;224;411;371
01;Ain;Attignat;1968;486;988;843
01;Ain;Bâgé-Dommartin;2372;669;1116;1074
01;Ain;Bâgé-le-Châtel;473;137;252;188
01;Ain;Beauregard;410;159;206;180
01;Ain;Bellignat;1257;600;642;526
01;Ain;Valserhône;6195;3316;3118;2550
01;Ain;Belley;4197;1741;2141;1681
01;Ain;Belleydoux;216;57;96;91
01;Ain;Valromey-sur-Seran;855;248;433;327
01;Ain;Bény;496;98;232;222
01;Ain;Béon;253;103;121;114
01;Ain;Béréziat;276;89;133;130
01;Ain;Bettant;436;140;197;190
01;Ain;Bey;211;39;132;62
01;Ain;Beynost;2825;911;1699;941
01;Ain;La Boisse;1784;575;944;700
