Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
01;Ain;Ambérieux-en-Dombes;1016;266;451;503
01;Ain;Ambronay;1615;417;725;762
01;Ain;Ambutrix;452;100;198;212
01;Ain;Anglefort;607;185;227;341
01;Ain;Apremont;247;42;101;113
01;Ain;Arandas;104;20;29;57
01;Ain;Arbigny;267;59;112;138
01;Ain;Argis;233;75;72;139
01;Ain;Artemare;660;214;233;364
01;Ain;Asnières-sur-Saône;53;7;15;34
01;Ain;Balan;1010;265;460;480
01;Ain;Baneins;338;94;136;178
01;Ain;Beaupont;366;79;147;199
01;Ain;Béligneux;1514;509;688;713
01;Ain;Bénonces;183;63;74;90
01;Ain;Billiat;306;135;126;154
01;Ain;Birieux;174;29;72;95
01;Ain;Biziat;535;106;210;283
01;Ain;Blyes;725;142;295;364
01;Ain;Boissey;211;53;85;108
01;Ain;Bolozon;58;23;16;31
01;Ain;Boyeux-Saint-Jérôme;238;81;109;111
01;Ain;Boz;302;90;126;146
01;Ain;Briord;585;212;185;346
01;Ain;La Burbanche;66;26;26;36
01;Ain;Ceignes;162;44;68;80
01;Ain;Cerdon;411;151;127;248
01;Ain;Certines;934;231;403;447
01;Ain;Chalamont;1345;433;575;676
01;Ain;Challes-la-Montagne;116;28;42;58
01;Ain;Champdor-Corcelles;400;139;163;190
01;Ain;Chanay;260;96;106;122
01;Ain;Chaneins;620;160;228;344
01;Ain;Chanoz-Châtenay;512;130;226;254
01;Ain;La Chapelle-du-Châtelard;246;62;107;128
01;Ain;Charnoz-sur-Ain;651;123;259;350
01;Ain;Château-Gaillard;1174;368;525;563
01;Ain;Châtenay;217;39;92;98
01;Ain;Châtillon-la-Palud;1011;275;440;484
01;Ain;Chavannes-sur-Reyssouze;428;130;181;223
01;Ain;Nivigne et Suran;448;141;191;206
01;Ain;Chaveyriat;605;163;259;295
01;Ain;Chazey-sur-Ain;964;261;423;456
01;Ain;Cheignieu-la-Balme;101;18;38;46
01;Ain;Chevroux;516;145;200;282
01;Ain;Cize;111;28;43;60
01;Ain;Coligny;683;237;285;329
01;Ain;Colomieu;96;33;32;47
01;Ain;Condamine;231;52;83;123
01;Ain;Confort;325;82;136;145
01;Ain;Contrevoz;318;103;130;155
01;Ain;Corbonod;616;198;268;302
01;Ain;Cormoz;384;137;169;193
01;Ain;Corveissiat;362;75;134;183
01;Ain;Courtes;164;54;63;89
01;Ain;Crans;191;30;81;100
01;Ain;Bresse Vallons;1399;326;616;681
01;Ain;Cressin-Rochefort;264;66;112;125
01;Ain;Cruzilles-lès-Mépillat;561;123;245;277
01;Ain;Culoz;1324;576;518;680
01;Ain;Curciat-Dongalon;253;73;107;132
01;Ain;Curtafond;489;73;207;237
01;Ain;Dompierre-sur-Veyle;678;206;289;343
01;Ain;Dompierre-sur-Chalaronne;244;52;107;115
01;Ain;Domsure;326;82;114;190
01;Ain;Dortan;1035;322;436;515
01;Ain;Druillat;721;165;307;359
01;Ain;Evosges;107;24;37;64
01;Ain;Faramans;551;105;198;318
01;Ain;Francheleins;931;170;410;470
01;Ain;Garnerans;456;112;200;223
01;Ain;Genouilleux;385;107;166;198
01;Ain;Beard-Géovreissiat;540;174;220;278
01;Ain;Groissiat;703;207;318;332
01;Ain;Hautecourt-Romanèche;488;152;222;227
01;Ain;Illiat;410;96;172;220
01;Ain;Injoux-Génissiat;567;154;216;301
01;Ain;Innimond;88;24;38;40
01;Ain;Izernore;1156;311;483;593
01;Ain;Izieu;155;37;67;71
01;Ain;Jayat;715;170;277;391
01;Ain;Jujurieux;1158;375;515;542
01;Ain;Labalme;117;38;39;52
01;Ain;Lagnieu;3973;1329;1728;1943
01;Ain;Lantenay;176;50;69;91
01;Ain;Lapeyrouse;223;40;82;126
01;Ain;Léaz;392;96;180;185
01;Ain;Lescheroux;398;142;139;235
01;Ain;Leyment;755;234;280;416
01;Ain;Surjoux-Lhopital;93;19;32;52
01;Ain;Lhuis;523;129;202;264
01;Ain;Lompnas;98;30;30;58
01;Ain;Loyettes;1548;593;660;786
01;Ain;Mantenay-Montlin;204;62;88;104
01;Ain;Marboz;1383;347;635;654
01;Ain;Marignieu;128;29;43;73
01;Ain;Marlieux;563;177;249;278
01;Ain;Martignat;857;316;374;412
01;Ain;Matafelon-Granges;380;103;137;209
01;Ain;Montagnieu;335;112;136;161
01;Ain;Montceaux;738;207;312;372
01;Ain;Le Montellier;188;35;77;96
01;Ain;Montracol;625;146;282;305
01;Ain;Nurieux-Volognat;596;151;258;275
01;Ain;Neuville-les-Dames;889;180;407;421
01;Ain;Neuville-sur-Ain;973;299;403;482
01;Ain;Les Neyrolles;277;76;127;137
01;Ain;Niévroz;956;296;443;457
01;Ain;Nivollet-Montgriffon;90;29;39;45
01;Ain;Oncieu;75;15;31;34
01;Ain;Ozan;453;87;192;231
01;Ain;Peyriat;110;25;46;54
01;Ain;Peyzieux-sur-Saône;365;84;135;202
01;Ain;Pirajoux;231;87;84;125
01;Ain;Pizay;556;167;238;270
01;Ain;Plagne;97;17;42;50
01;Ain;Le Plantay;325;89;149;155
01;Ain;Poncin;912;327;389;454
01;Ain;Pont-de-Veyle;702;264;297;341
01;Ain;Pouillat;55;11;22;30
01;Ain;Prémillieu;45;8;17;26
01;Ain;Priay;993;261;407;496
01;Ain;Ramasse;209;40;83;100
01;Ain;Rancé;458;98;207;222
01;Ain;Relevant;288;55;122;142
01;Ain;Reyssouze;556;179;256;260
