Code_DPT;Libelle_DPT;Partitipation;abstentitons;votes1;votes2
01;Ain;L'Abergement-Clémenciat;497;146;237;213
01;Ain;L'Abergement-de-Varey;168;45;94;48
01;Ain;Ambérieu-en-Bugey;6315;2448;3080;2609
01;Ain;Ambléon;84;19;45;27
01;Ain;Andert-et-Condon;207;73;102;80
01;Ain;Aranc;207;76;92;81
01;Ain;Arbent;1577;682;891;578
01;Ain;Arboys en Bugey;443;119;235;164
01;Ain;Ars-sur-Formans;849;224;411;371
01;Ain;Attignat;1968;486;988;843
01;Ain;Bâgé-Dommartin;2372;669;1116;1074
01;Ain;Bâgé-le-Châtel;473;137;252;188
01;Ain;Beauregard;410;159;206;180
01;Ain;Bellignat;1257;600;642;526
01;Ain;Valserhône;6195;3316;3118;2550
01;Ain;Belley;4197;1741;2141;1681
01;Ain;Belleydoux;216;57;96;91
01;Ain;Valromey-sur-Seran;855;248;433;327
01;Ain;Bény;496;98;232;222
01;Ain;Béon;253;103;121;114
01;Ain;Béréziat;276;89;133;130
01;Ain;Bettant;436;140;197;190
01;Ain;Bey;211;39;132;62
01;Ain;Beynost;2825;911;1699;941
01;Ain;La Boisse;1784;575;944;700
01;Ain;Bouligneux;227;35;110;107
01;Ain;Bourg-en-Bresse;15336;7822;9280;4760
01;Ain;Bourg-Saint-Christophe;884;193;420;396
01;Ain;Brégnier-Cordon;482;171;219;217
01;Ain;Brénod;347;95;167;139
01;Ain;Brens;777;176;353;351
01;Ain;Bressolles;596;109;342;210
01;Ain;Brion;332;90;172;135
01;Ain;Buellas;1168;227;629;460
01;Ain;Cessy;2088;772;1312;662
01;Ain;Ceyzériat;1855;547;1054;648
01;Ain;Ceyzérieu;692;203;313;300
01;Ain;Chaleins;764;219;377;333
01;Ain;Challex;583;235;354;189
01;Ain;Champagne-en-Valromey;403;157;205;155
01;Ain;Charix;160;52;79;57
01;Ain;Châtillon-sur-Chalaronne;2803;928;1399;1197
01;Ain;Chazey-Bons;606;169;277;265
01;Ain;Chevillard;115;31;55;48
01;Ain;Chevry;782;256;488;240
01;Ain;Chézery-Forens;269;90;143;110
01;Ain;Civrieux;1118;264;596;441
01;Ain;Cleyzieu;90;25;39;38
01;Ain;Collonges;884;397;449;373
01;Ain;Conand;78;32;45;23
01;Ain;Condeissiat;466;128;232;201
01;Ain;Confrançon;734;207;346;330
01;Ain;Conzieu;88;26;48;34
01;Ain;Corlier;74;11;36;28
01;Ain;Cormoranche-sur-Saône;715;188;374;310
01;Ain;Courmangoux;313;82;154;123
01;Ain;Crottet;1064;265;505;491
01;Ain;Crozet;948;305;560;318
01;Ain;Cuzieu;293;95;149;116
01;Ain;Dagneux;2383;903;1153;1042
01;Ain;Divonne-les-Bains;4539;1882;3148;1133
01;Ain;Douvres;695;152;322;301
01;Ain;Drom;136;46;68;52
01;Ain;Echenevex;948;307;627;260
01;Ain;Fareins;1471;425;794;594
01;Ain;Farges;417;189;223;154
01;Ain;Feillens;1964;641;1043;792
01;Ain;Ferney-Voltaire;2787;1200;1962;657
01;Ain;Flaxieu;90;2;44;37
01;Ain;Foissiat;1245;347;596;582
01;Ain;Frans;1445;352;770;573
01;Ain;Géovreisset;446;121;218;199
01;Ain;Gex;4478;2171;2778;1415
01;Ain;Giron;105;23;58;31
01;Ain;Gorrevod;493;165;243;199
01;Ain;Grand-Corent;130;30;59;46
01;Ain;Grièges;1165;327;564;519
01;Ain;Grilly;429;125;301;99
01;Ain;Guéreins;833;279;386;385
01;Ain;Plateau d'Hauteville;2295;864;1097;950
01;Ain;Haut Valromey;492;145;254;197
01;Ain;Izenave;112;23;53;49
01;Ain;Jassans-Riottier;3232;1196;1711;1277
01;Ain;Jasseron;1101;252;622;395
01;Ain;Journans;238;44;131;74
01;Ain;Joyeux;167;39;98;55
01;Ain;Laiz;757;170;359;331
01;Ain;Le Poizat-Lalleyriat;426;135;199;188
01;Ain;Lavours;88;23;39;37
01;Ain;Lélex;174;47;95;61
01;Ain;Lent;843;252;396;378
01;Ain;Leyssard;92;28;42;35
01;Ain;Lurcy;301;74;142;140
01;Ain;Magnieu;432;108;199;190
01;Ain;Maillat;391;98;188;186
01;Ain;Malafretaz;714;204;350;299
01;Ain;Manziat;1224;317;635;505
01;Ain;Marchamp;86;26;40;33
01;Ain;Marsonnas;598;152;286;264
01;Ain;Massieux;1601;475;862;629
01;Ain;Massignieu-de-Rives;398;119;179;175
01;Ain;Meillonnas;861;191;467;317
01;Ain;Mérignat;85;20;47;25
01;Ain;Messimy-sur-Saône;810;156;435;290
01;Ain;Meximieux;4081;1468;2239;1550
01;Ain;Bohas-Meyriat-Rignat;564;157;270;237
01;Ain;Mézériat;1163;447;547;528
01;Ain;Mijoux;162;62;93;56
01;Ain;Mionnay;1469;360;756;607
01;Ain;Miribel;5136;1878;2958;1799
01;Ain;Misérieux;1084;246;598;405
01;Ain;Mogneneins;488;133;226;221
01;Ain;Montagnat;1337;367;779;457
01;Ain;Montcet;404;96;193;184
01;Ain;Monthieux;426;103;215;184
01;Ain;Montluel;3150;1337;1777;1153
01;Ain;Montmerle-sur-Saône;2298;702;1169;983
01;Ain;Montréal-la-Cluse;1484;593;722;617
